category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Програмист,4,3,1,Zangia,Программ зохиогч (Эрэгтэй),MM системс ХХК,2500000,3000000,[],Мэргэжилтэн,5,Ахисан түвшний мэргэжилтэн,Програмист,Ур чадвар
Програмист,4,3,1,Zangia,Программын туслах,ХалМон трейд,1500000,1800000,,Ажилтан,2,Ажилтан,Програмист,Ур чадвар | Ур чадвар
Програмист,4,3,1,Zangia,Программист / Middle software developer /,Смарт Софтвэйр Групп,3000000,3500000,,Мэргэжилтэн,5,Мэргэжилтэн,Програмист,Боловсрол | Туршлага
Програмист,4,3,1,Lambda Global,Програм хөгжүүлэгч /Low-Code/,Могул Групп,2000000,2500000,"[{'name': 'Цалинтай чөлөө', 'description': None}, {'name': 'Ажилчдын хямдрал', 'description': None}]",Мэргэжилтэн,4,Мэргэжилтэн,Програмист,
