category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Төслийн удирдлагын албаны дарга,4,2,2,Zangia,"ТӨЛӨВЛӨЛТ, ЧАНАРЫН ХЭЛТСИЙН ДАРГА /ТӨСЛИЙН/",Макс Өргөө ХХК,5500000,6000000,[],Менежмент,8,Чиг үүргийн удирдлага,Төслийн удирдлагын албаны дарга,"барилгын инженер, төслийн менежментийн чиглэлээр бакалавр ба түүнээс дээш зэрэгтэй. | барилгын салбарт 10-аас дээш жил ажилласан, түүнээс ахлах менежер, төслийн менежер, хэлтсийн дарга зэрэг удирдах албан тушаал 4 ба түүнээс дээш жил ажилласан туршлагатай. | барилгын норм дүрэм, стандарт (бнбд, mns, iso)-ын гүнзгий мэдлэгтэй. | барилгын гүйцэтгэлийн технологи, чанарын хяналтын системийн ойлголттой. | хабэа-н хууль дүрэм, хэрэгжилтийн талаар мэдлэгтэй. | зураг төсөл унших, инженерийн шийдэлд дүн шинжилгээ хийх чадвартай. | төсөв гүйцэтгэлийн акт, өөрчлөлтийн захиалгын ойлголттой. | шийдвэр гаргах, эрсдэл тооцох чадвартай | процесс сайжруулалт, стандарт нэвтрүүлэх туршлагатай. | төслийн гүйцэтгэлд анализ хийх, тайлагнах чадвартай | удирдлагын шийдвэр гаргалтад шаардлагатай мэдээллийг нэгтгэх чадвартай | ms excel, word, pp ахисан түвшинд, ms project, primavera мэдлэгтэй. | хариуцлагатай, ёс зүйтэй, асуудалд системтэй, шийдэлд чиглэсэн хандлагатай байх"
Төслийн удирдлагын албаны дарга,4,2,2,Zangia,ҮЙЛ АЖИЛЛАГААНЫ ХЯНАЛТЫН ХЭЛТСИЙН ДАРГА /ТӨСЛИЙН/,Макс Өргөө ХХК,5500000,6000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Төслийн удирдлагын албаны дарга,Боловсрол | Туршлага | Туршлага | Мэдлэг | Мэдлэг | Мэдлэг | Мэдлэг | Ур чадвар | Компьютерийн мэдлэг | Ур чадвар | Ур чадвар | Манлайлал | Хандлага
Төслийн удирдлагын албаны дарга,4,2,2,Lambda Global,Manager Technical Academy,MSM Group,5500000,8000000,"[{'name': 'Сургалтын төлбөрийн дэмжлэг', 'description': None}, {'name': 'Ажилчдын хямдрал', 'description': None}, {'name': 'Компаний машин/унаа', 'description': None}, {'name': 'Уян хатан ажлын цаг', 'description': None}, {'name': 'Улирал бүр бонус', 'description': None}, {'name': 'Компанийн бэлэг', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Үдийн хоол /төлбөргүй/', 'description': None}, {'name': 'Шинэ аав/ээжийн уртасгасан чөлөө', 'description': None}, {'name': 'Тушаал ахих боломж', 'description': None}]",Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Төслийн удирдлагын албаны дарга,Туршлага | Ур чадвар | Хэлний мэдлэг | Хандлага | Хандлага | Хандлага
Төслийн удирдлагын албаны дарга,4,2,2,Lambda Global,Төслийн ЭМААБО хариуцсан менежер,Кэй Эй Майнинг,3500000,4500000,,Менежмент,7,Менежер / Супервайзор,Төслийн удирдлагын албаны дарга,Хэлний мэдлэг
