category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Архитектур шийдэл хариуцсан захирал,7,6,1,Zangia,Архитектур,ЮНАЙТЭД ПРОЖЕКТС КОРПОРЭЙШН ХХК,3500000,4000000,,Мэргэжилтэн,6,Ахлах мэргэжилтэн,Архитектур шийдэл хариуцсан захирал,Боловсрол | Туршлага | Ур чадварууд
Архитектур шийдэл хариуцсан захирал,7,6,1,Zangia,Архитектор (Номин Реалтор),Номин Холдинг,2500000,3000000,,Мэргэжилтэн,6,Мэргэжилтэн,Архитектур шийдэл хариуцсан захирал,Боловсрол | Программ хангамж | Ур чадвар
Архитектур шийдэл хариуцсан захирал,7,6,1,Zangia,Барилга бүтээцийн зураг төслийн инженер,Гангоо Архитектс Энд Инженерс ХХК ,2100000,2500000,,Мэргэжилтэн,5,Мэргэжилтэн,Архитектур шийдэл хариуцсан захирал,Боловсрол | Туршлага | Ур чадвар | Мэдлэг
Архитектур шийдэл хариуцсан захирал,7,6,1,Zangia,Архитектур,Жи Ди Эл Инженер,4000000,4500000,,Ажилтан,9,Ажилтан,Архитектур шийдэл хариуцсан захирал,Боловсрол | Туршлага | Ур чадвар
Архитектур шийдэл хариуцсан захирал,7,6,1,Zangia,Барилгын захиалагчийн хяналтын инженер,Азийн Идэр Цамхаг ХХК,4000000,4500000,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Архитектур шийдэл хариуцсан захирал,Боловсрол | Туршлага | Ур чадвар | Мэдлэг | Компьютерийн мэдлэг | Хэлний мэдлэг
Архитектур шийдэл хариуцсан захирал,7,6,1,Zangia,Chief/General Engineer,Сүмбэрцамхаг групп,6000000,6500000,,Гүйцэтгэх удирдлага,9,Чиг үүргийн удирдлага,Архитектур шийдэл хариуцсан захирал,Боловсрол | Туршлага | Ур чадвар
Архитектур шийдэл хариуцсан захирал,7,6,1,Lambda Global,Solution Architect,AND Global,8000000,10000000,"[{'name': 'Хагас жил бүр бонус', 'description': None}, {'name': 'Тушаал ахих боломж', 'description': None}, {'name': 'Эрүүл мэндийн даатгал (Хувийн)', 'description': None}, {'name': 'Өглөөний цай /үнэгүй/', 'description': None}]",Менежмент,9,Чиг үүргийн удирдлага,Архитектур шийдэл хариуцсан захирал,Туршлага | Мэдлэг | Туршлага | Мэдлэг | Ур чадвар | Ур чадвар
