category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Мобайл хөгжүүлэгч,4,3,1,Zangia,Хөгжүүлэгч /Мобайл/,Ай Си Ти групп ХК,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Мобайл хөгжүүлэгч,Туршлага | Программийн мэдлэг | Мэдлэг | Ур чадварууд
Мобайл хөгжүүлэгч,4,3,1,Zangia,Mobile Developer,Блюпринт Солиушн,3000000,3500000,,Мэргэжилтэн,4,Мэргэжилтэн,Мобайл хөгжүүлэгч,Техникийн мэдлэг | Туршлага
Мобайл хөгжүүлэгч,4,3,1,Zangia,Гар утасны тоглоом хөгжүүлэгч,Блaйк Кэнди,1500000,1800000,,Ажилтан,4,Мэргэжилтэй ажилтан,Мобайл хөгжүүлэгч,"програм хангамж болон хөгжүүлэлтийн талаар&nbsp;мэдлэгтэй | хурдан, бие даан суралцдаг | англи хэлний зохих мэдлэгтэй"
Мобайл хөгжүүлэгч,4,3,1,Lambda Global,Mobile engineer /Mezorn/,Юбикаб Холдинг ХХК,3000000,4000000,"[{'name': 'Улирал бүр бонус', 'description': None}]",Мэргэжилтэн,5,Мэргэжилтэн,Мобайл хөгжүүлэгч,Нэмэлт
