category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Бүтээгдэхүүн хариуцсан ахлах дизайнер,2,2,0,Zangia,Ахлах тавилгын дизайнер,Номин Холдинг,3500000,4000000,,Мэргэжилтэн,5,Ахлах мэргэжилтэн,Бүтээгдэхүүн хариуцсан ахлах дизайнер,Боловсрол | Туршлага
Бүтээгдэхүүн хариуцсан ахлах дизайнер,2,2,0,Zangia,Ахлах бүтээгдэхүүн хөгжүүлэгч/Solidwork/,Электрокомплект,3500000,4000000,[],Мэргэжилтэн,7,Ахлах мэргэжилтэн,Бүтээгдэхүүн хариуцсан ахлах дизайнер,Ур чадварууд | Ур чадварууд
