category,category_count,source_zangia_count,source_lambda_count,source,job_name,company,min_salary,max_salary,bonus,job_level_category,job_grade,job_level,job_category,requirements
Ахлах дата инженер,8,7,1,Zangia,ДАТА ИНЖЕНЕР/CTOO/,Мобиком корпораци ХХК,3000000,3500000,"[{'name': 'Ур чадварууд', 'description': 'Power BI дээр ажиллаж байсан туршлагатай бол давуу тал болно'}]",Мэргэжилтэн,4,Мэргэжилтэн,Ахлах дата инженер,Боловсрол | Ур чадварууд | Хэлний мэдлэг
Ахлах дата инженер,8,7,1,Zangia,ӨГӨГДЛИЙН УДИРДЛАГЫН АЛБАНЫ МЕНЕЖЕР,Премиум Нэксус ХК,4500000,5000000,,Менежмент,7,Ахлах менежер / Нэгжийн удирдлага,Ахлах дата инженер,Боловсрол | Туршлага | Ур чадвар
Ахлах дата инженер,8,7,1,Zangia,Дата инженер,Саммит Компьютер Технологи ХХК,3500000,4000000,,Мэргэжилтэн,7,Мэргэжилтэн,Ахлах дата инженер,Боловсрол | Мэдлэг | Туршлага | Ур чадвар
Ахлах дата инженер,8,7,1,Zangia,Power BI Developer,"""Эйч Си Ай"" ХХК",3500000,4000000,[],Мэргэжилтэн,4,Мэргэжилтэн,Ахлах дата инженер,Туршлага | Мэдлэг
Ахлах дата инженер,8,7,1,Zangia,Power BI Developer,Ви Эм Си Групп ХХК,2100000,2500000,,Мэргэжилтэн,4,Мэргэжилтэн,Ахлах дата инженер,Туршлага | Ур чадвар
Ахлах дата инженер,8,7,1,Zangia,Өгөгдлийн шинжээч /Толгой компани/,Ньюпрогресс Групп ХХК,3500000,4000000,,Менежмент,8,Ахлах менежер / Нэгжийн удирдлага,Ахлах дата инженер,Боловсрол | Туршлага | Мэдлэг | Мэдлэг | Хэлний мэдлэг
Ахлах дата инженер,8,7,1,Zangia,Дата аналист,Ашид Капитал ББСБ,3500000,4000000,,Мэргэжилтэн,4,Мэргэжилтэн,Ахлах дата инженер,Ур чадвар | Хэлний мэдлэг
Ахлах дата инженер,8,7,1,Lambda Global,Data engineer,PCMALL,3000000,4000000,,Мэргэжилтэн,5,Мэргэжилтэн,Ахлах дата инженер,
